City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,lichuan,30.3,108.85,74.59,81,100,4.79,CN,1597106861
265,wanning,18.8,110.4,86.11,74,100,9.08,CN,1597106861
266,basco,20.45,121.97,84.74,80,100,15.12,PH,1597106861
267,codrington,-38.27,141.97,53.74,72,100,15.75,AU,1597106862
268,krasnoselkup,65.7,82.47,61.12,72,70,14.09,RU,1597106862
269,touros,-5.2,-35.46,73.4,83,46,6.93,BR,1597106862
270,te anau,-45.42,167.72,48.42,66,10,6.06,NZ,1597106862
271,isangel,-19.55,169.27,84.2,70,20,9.17,VU,1597106862
272,yuzhnouralsk,54.44,61.25,57.42,92,100,16.13,RU,1597106863
273,rawson,-43.3,-65.1,43.56,55,0,22.5,AR,1597106863
274,lagoa,39.05,-27.98,69.55,73,96,14.41,PT,1597106864
275,mogzon,51.74,111.96,59.13,88,100,2.08,RU,1597106864
276,bocanda,7.06,-4.5,69.78,94,100,6.13,CI,1597106864
277,salalah,17.02,54.09,78.8,88,75,4.7,OM,1597106864
278,ballina,-28.87,153.57,66.99,59,78,16.11,AU,1597106865
279,iskateley,67.68,53.15,45.84,88,100,10.76,RU,1597106865
280,grand baie,-20.02,57.58,60.8,87,75,6.93,MU,1597106865
281,la cruz,23.92,-106.9,84.85,73,69,4.36,MX,1597106865
282,macamic,48.75,-79.0,80.6,61,75,10.29,CA,1597106866
283,manta,-0.95,-80.73,73.4,78,20,8.05,EC,1597106866
284,ca mau,9.18,105.15,81.19,82,100,4.88,VN,1597106866
285,san jorge,-31.9,-61.86,54.0,28,58,3.0,AR,1597106866
286,saint anthony,45.02,-93.22,78.8,31,1,8.05,US,1597106866
287,czluchow,53.67,17.36,62.01,84,0,3.0,PL,1597106867
288,yarkovo,57.4,67.08,62.13,98,98,5.23,RU,1597106867
289,padang,-0.95,100.35,80.87,65,100,3.09,ID,1597106867
290,nome,64.5,-165.41,55.0,76,20,10.29,US,1597106867
291,krasnoshchekovo,51.67,82.73,65.93,78,97,4.99,RU,1597106867
292,portland,45.52,-122.68,90.0,35,1,11.41,US,1597106613
293,deloraine,-41.53,146.67,51.01,75,90,4.7,AU,1597106868
294,luan,46.36,6.98,66.2,88,95,2.24,CH,1597106868
295,bowen,-20.02,148.23,73.99,68,0,6.93,AU,1597106868
296,rincon,32.3,-81.24,82.4,69,75,6.93,US,1597106868
297,nelson bay,-32.72,152.15,60.8,67,40,8.05,AU,1597106869
298,champerico,14.3,-91.92,86.0,74,40,6.93,GT,1597106869
299,kahului,20.89,-156.47,89.6,46,20,23.04,US,1597106869
300,siocon,7.71,122.14,86.04,67,11,4.68,PH,1597106869
301,mecca,21.43,39.83,86.07,51,75,2.06,SA,1597106870
302,kirkuk,35.47,44.39,76.77,35,0,5.64,IQ,1597106870
303,bozoum,6.32,16.38,67.8,94,100,3.22,CF,1597106871
304,sabla,12.75,4.71,77.07,80,100,10.18,NG,1597106871
305,nhulunbuy,-12.23,136.77,78.8,54,20,9.17,AU,1597106871
306,kaeo,-35.1,173.78,61.0,3,100,10.0,NZ,1597106871
307,urumqi,43.8,87.6,77.0,36,29,6.71,CN,1597106872
308,vao,-22.67,167.48,70.59,78,6,19.98,NC,1597106872
309,vaasa,63.1,21.62,57.99,93,82,2.24,FI,1597106872
310,marawi,8.0,124.29,82.99,70,100,3.0,PH,1597106872
311,urambo,-5.07,32.05,60.96,44,0,2.89,TZ,1597106873
312,iqaluit,63.75,-68.51,42.8,75,75,5.82,CA,1597106685
313,port keats,-14.25,129.55,82.02,51,0,5.1,AU,1597106873
314,nizhnyaya poyma,56.16,97.19,67.93,59,0,2.75,RU,1597106874
315,bilibino,68.05,166.44,49.14,77,100,5.64,RU,1597106874
316,palauig,15.44,119.9,85.42,68,100,9.17,PH,1597106874
317,ahipara,-35.17,173.17,58.68,89,100,11.18,NZ,1597106874
318,dunedin,-45.87,170.5,48.99,77,51,10.0,NZ,1597106874
319,almaznyy,48.04,40.05,62.6,63,0,4.47,RU,1597106875
320,saint george,37.1,-113.58,102.0,6,1,12.75,US,1597106863
321,baneh,36.0,45.89,57.22,67,0,1.34,IR,1597106875
322,kinablangan,7.69,126.55,83.66,69,68,2.24,PH,1597106875
323,mafinga,-7.25,35.07,59.43,74,0,2.51,TZ,1597106876
324,valley city,46.92,-98.0,77.0,33,1,8.05,US,1597106876
325,san quintin,30.48,-115.95,72.45,66,0,13.29,MX,1597106876
326,port blair,11.67,92.75,82.42,82,100,16.55,IN,1597106876
327,ankang,32.68,109.02,82.85,73,100,2.98,CN,1597106877
328,dubbo,-32.25,148.62,55.4,62,10,10.29,AU,1597106877
329,morondava,-20.28,44.28,67.08,82,1,10.98,MG,1597106877
330,cotonou,6.37,2.42,74.39,84,100,11.83,BJ,1597106877
331,tinaquillo,9.92,-68.3,71.74,94,98,1.66,VE,1597106877
332,murgab,37.5,61.97,75.2,47,0,6.93,TM,1597106878
333,mehamn,71.04,27.85,50.02,86,91,14.29,NO,1597106878
334,xuddur,4.12,43.89,69.91,63,49,17.92,SO,1597106878
335,nanortalik,60.14,-45.24,40.86,80,83,11.14,GL,1597106879
336,darhan,49.49,105.92,64.0,68,2,3.87,MN,1597106879
337,harboore,56.62,8.18,60.01,38,0,9.08,DK,1597106879
338,saint-joseph,-21.37,55.62,68.0,45,90,11.41,RE,1597106879
339,talnakh,69.49,88.4,50.0,100,90,4.47,RU,1597106880
340,port hardy,50.7,-127.42,64.4,59,20,16.11,CA,1597106684
341,karratha,-20.74,116.85,68.47,55,5,8.16,AU,1597106759
342,freeport,40.66,-73.58,81.0,74,1,13.87,US,1597106801
343,micheweni,-4.97,39.83,73.04,85,12,7.96,TZ,1597106881
344,vangaindrano,-23.35,47.6,59.29,88,0,3.4,MG,1597106881
345,petropavlovsk-kamchatskiy,53.05,158.65,68.0,56,20,4.47,RU,1597106621
346,coihaique,-45.58,-72.07,41.0,56,75,10.29,CL,1597106881
347,mahibadhoo,3.78,72.97,82.4,77,100,9.93,MV,1597106882
348,grindavik,63.84,-22.43,51.8,100,90,18.34,IS,1597106882
349,san miguel,13.48,-88.18,80.6,100,40,0.89,SV,1597106828
350,clyde,41.3,-82.98,84.2,58,1,8.05,US,1597106714
351,sao filipe,14.9,-24.5,76.26,80,15,6.69,CV,1597106882
352,kamenka,51.32,42.77,54.0,77,0,3.0,RU,1597106883
353,olafsvik,64.89,-23.71,51.67,95,100,12.8,IS,1597106883
354,anadyr,64.75,177.48,64.4,59,69,13.42,RU,1597106883
355,koriyama,37.4,140.38,91.0,74,28,5.82,JP,1597106883
356,estancia,-11.27,-37.44,77.0,69,20,6.93,BR,1597106884
357,pryozerne,45.27,36.33,75.07,62,43,8.9,UA,1597106884
358,berlevag,70.86,29.09,50.5,87,96,13.8,NO,1597106884
359,beyneu,45.32,55.2,68.2,61,0,11.56,KZ,1597106884
360,kasongo-lunda,-6.47,16.82,68.54,75,0,3.71,CD,1597106885
361,pangai,-19.8,-174.35,78.8,65,20,13.87,TO,1597106885
362,northam,51.03,-4.22,63.0,96,0,3.0,GB,1597106885
363,santiago del estero,-27.8,-64.26,65.64,25,100,16.46,AR,1597106886
364,bima,-8.47,118.72,85.19,62,3,4.23,ID,1597106886
365,verkhoyansk,67.54,133.38,52.27,47,24,4.47,RU,1597106886
366,korla,41.76,86.15,68.0,94,1,1.99,CN,1597106886
367,los llanos de aridane,28.66,-17.92,73.4,73,0,13.87,ES,1597106887
368,paraisopolis,-22.55,-45.78,60.8,67,0,2.24,BR,1597106887
369,bengkulu,-3.8,102.27,77.74,89,91,4.0,ID,1597106871
370,pringsewu,-5.36,104.97,77.43,88,100,1.48,ID,1597106887
371,skjold,55.8,9.94,69.01,100,0,4.7,DK,1597106888
372,malinao,7.59,124.69,77.83,71,17,2.93,PH,1597106888
373,devils lake,48.11,-98.87,75.2,31,1,13.87,US,1597106888
374,altamira,-3.2,-52.21,77.22,60,0,2.39,BR,1597106888
375,la ronge,55.1,-105.28,71.6,43,40,14.99,CA,1597106889
376,burnie,-41.07,145.92,51.01,66,100,4.0,AU,1597106621
377,novobirilyussy,56.95,90.67,65.91,61,0,6.67,RU,1597106889
378,oum hadjer,13.3,19.7,74.73,79,100,5.86,TD,1597106889
379,cockburn town,21.46,-71.14,82.36,81,58,18.16,TC,1597106889
380,puerto lopez,4.08,-72.96,70.43,87,96,0.89,CO,1597106890
